n,F_n,F_n_over_F_n_minus_1,Lucas_n,phi_power_n,fibonacci_word_position,is_fibonacci_word_1
0,0,undefined,2,1.0000000000,1,1
1,1,undefined,1,1.6180339887,0,0
2,1,1.0000000000,3,2.6180339887,1,1
3,2,2.0000000000,4,4.2360679775,1,1
4,3,1.5000000000,7,6.8541019662,0,0
5,5,1.6666666667,11,11.0901699437,1,1
6,8,1.6000000000,18,17.9442719100,0,0
7,13,1.6250000000,29,29.0344418537,1,1
8,21,1.6153846154,47,46.9787137637,1,1
9,34,1.6190476190,76,76.0131556175,0,0
10,55,1.6176470588,123,122.9918693812,1,1
11,89,1.6181818182,199,199.0050249987,1,1
12,144,1.6179775281,322,321.9968943800,0,0
13,233,1.6180555556,521,521.0019193787,1,1
14,377,1.6180257511,843,842.9988137587,0,0
15,610,1.6180371353,1364,1364.0007331374,1,1
16,987,1.6180327869,2207,2206.9995468961,1,1
17,1597,1.6180344478,3571,3571.0002800336,0,0
18,2584,1.6180338134,5778,5777.9998269297,1,1
19,4181,1.6180340557,9349,9349.0001069633,0,0
20,6765,1.6180339632,15127,15126.9999338930,1,1
21,10946,1.6180339985,24476,24476.0000408564,1,1
22,17711,1.6180339850,39603,39602.9999747494,0,0
23,28657,1.6180339902,64079,64079.0000156058,1,1
24,46368,1.6180339882,103682,103681.9999903552,1,1
25,75025,1.6180339890,167761,167761.0000059610,0,0
26,121393,1.6180339887,271443,271442.9999963162,1,1
27,196418,1.6180339888,439204,439204.0000022773,0,0
28,317811,1.6180339887,710647,710646.9999985935,1,1
29,514229,1.6180339888,1149851,1149851.0000008708,1,1
30,832040,1.6180339887,1860498,1860497.9999994645,0,0
